design,rank,dedup_module,benchmark,parallel_cpus,instance_count,module_ir_size,boundary_signal_count,boundary_to_interior_ratio,edge_count_within,fraction_design_covered,original_ir_size,median_throughput_hz,baseline_throughput_hz,relative_speedup
rocket21-8c,1,TilePRCIDomain,qsort,48,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,14035.964,10460.0916,1.341859
rocket21-8c,1,TilePRCIDomain,qsort,64,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,10562.4514,7946.4875,1.329198
rocket21-8c,1,TilePRCIDomain,vvadd,32,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,22860.8414,18815.9311,1.214973
rocket21-8c,1,TilePRCIDomain,vvadd,48,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,17444.7083,15055.4157,1.1587
rocket21-8c,1,TilePRCIDomain,vvadd,64,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,11939.2971,10846.2121,1.10078
rocket21-8c,ml,TLXbar_7,memcpy,32,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,19947.8058,20414.7468,0.977127
rocket21-8c,ml,TLXbar_7,memcpy,48,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,15324.9543,15461.9874,0.991137
rocket21-8c,ml,TLXbar_7,memcpy,64,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,11090.5475,11103.861,0.998801
rocket21-8c,ml,TLXbar_7,multiply,32,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,14431.1282,14516.9208,0.99409
rocket21-8c,ml,TLXbar_7,multiply,48,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,11510.9076,11262.038,1.022098
rocket21-8c,ml,TLXbar_7,multiply,64,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,8359.9436,8681.0232,0.963014
rocket21-8c,ml,TLXbar_7,qsort,32,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,12964.0788,13080.4514,0.991103
rocket21-8c,ml,TLXbar_7,qsort,48,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,10215.4266,10460.0916,0.97661
rocket21-8c,ml,TLXbar_7,qsort,64,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,7756.8461,7946.4875,0.976135
rocket21-8c,ml,TLXbar_7,vvadd,32,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,18629.029,18815.9311,0.990067
rocket21-8c,ml,TLXbar_7,vvadd,48,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,14613.3024,15055.4157,0.970634
rocket21-8c,ml,TLXbar_7,vvadd,64,8,1741,131,4.789254521458419E-4,115,0.05091964654570448,273529,10621.9615,10846.2121,0.979325
