rank_chosen,cpu,benchmark,parallel_cpus,cycle_count,wall_time_s
3,boom21-large,qsort,16,1034587,193.59
3,boom21-large,qsort,16,1034587,226.12
3,boom21-large,qsort,16,1034587,191.74
3,boom21-large,qsort,16,1034587,194.51
3,boom21-large,qsort,16,1034587,209.22
3,boom21-large,qsort,16,1034587,191.67
3,boom21-large,qsort,16,1034587,195.47
3,boom21-large,qsort,16,1034587,198.24
3,boom21-large,qsort,16,1034587,195.8
3,boom21-large,qsort,16,1034587,199.54
3,boom21-large,qsort,16,1034587,195.69
3,boom21-large,qsort,16,1034587,199.08
3,boom21-large,qsort,16,1034587,267.7
3,boom21-large,qsort,16,1034587,193.02
3,boom21-large,qsort,16,1034587,199.74
3,boom21-large,qsort,16,1034587,195.83
3,boom21-large,qsort,1,1034587,113.16
3,boom21-large,vvadd,16,377807,47.6
3,boom21-large,vvadd,16,377807,45.19
3,boom21-large,vvadd,16,377807,46.8
3,boom21-large,vvadd,16,377807,47.74
3,boom21-large,vvadd,16,377807,48.34
3,boom21-large,vvadd,16,377807,47.49
3,boom21-large,vvadd,16,377807,45.91
3,boom21-large,vvadd,16,377807,47.13
3,boom21-large,vvadd,16,377807,54.17
3,boom21-large,vvadd,16,377807,47.94
3,boom21-large,vvadd,16,377807,46.67
3,boom21-large,vvadd,16,377807,47.65
3,boom21-large,vvadd,16,377807,46.95
3,boom21-large,vvadd,16,377807,48.47
3,boom21-large,vvadd,16,377807,47.33
3,boom21-large,vvadd,16,377807,46.9
3,boom21-large,vvadd,1,377807,31.06
3,boom21-small,qsort,16,1287655,61.12
3,boom21-small,qsort,16,1287655,61.31
3,boom21-small,qsort,16,1287655,61.3
3,boom21-small,qsort,16,1287655,61.58
3,boom21-small,qsort,16,1287655,61.87
3,boom21-small,qsort,16,1287655,69.25
3,boom21-small,qsort,16,1287655,60.12
3,boom21-small,qsort,16,1287655,60.63
3,boom21-small,qsort,16,1287655,60.75
3,boom21-small,qsort,16,1287655,62.03
3,boom21-small,qsort,16,1287655,60.44
3,boom21-small,qsort,16,1287655,60.59
3,boom21-small,qsort,16,1287655,61.32
3,boom21-small,qsort,16,1287655,61.92
3,boom21-small,qsort,16,1287655,60.43
3,boom21-small,qsort,16,1287655,60.8
3,boom21-small,qsort,1,1287655,56.05
3,boom21-small,vvadd,16,432839,14.94
3,boom21-small,vvadd,16,432839,15.19
3,boom21-small,vvadd,16,432839,15.51
3,boom21-small,vvadd,16,432839,15.13
3,boom21-small,vvadd,16,432839,15.54
3,boom21-small,vvadd,16,432839,15.49
3,boom21-small,vvadd,16,432839,15.38
3,boom21-small,vvadd,16,432839,15.15
3,boom21-small,vvadd,16,432839,15.09
3,boom21-small,vvadd,16,432839,15.44
3,boom21-small,vvadd,16,432839,15.54
3,boom21-small,vvadd,16,432839,14.96
3,boom21-small,vvadd,16,432839,15.07
3,boom21-small,vvadd,16,432839,15.52
3,boom21-small,vvadd,16,432839,15.5
3,boom21-small,vvadd,16,432839,15.95
3,boom21-small,vvadd,1,432839,13.45
3,rocket21-1c,qsort,16,793459,11.72
3,rocket21-1c,qsort,16,793459,11.82
3,rocket21-1c,qsort,16,793459,11.62
3,rocket21-1c,qsort,16,793459,11.58
3,rocket21-1c,qsort,16,793459,11.98
3,rocket21-1c,qsort,16,793459,11.6
3,rocket21-1c,qsort,16,793459,11.57
3,rocket21-1c,qsort,16,793459,11.79
3,rocket21-1c,qsort,16,793459,11.62
3,rocket21-1c,qsort,16,793459,11.59
3,rocket21-1c,qsort,16,793459,11.61
3,rocket21-1c,qsort,16,793459,11.52
3,rocket21-1c,qsort,16,793459,11.62
3,rocket21-1c,qsort,16,793459,11.61
3,rocket21-1c,qsort,16,793459,11.6
3,rocket21-1c,qsort,16,793459,11.65
3,rocket21-1c,qsort,1,793459,9.98
3,rocket21-1c,vvadd,16,237215,3.78
3,rocket21-1c,vvadd,16,237215,3.72
3,rocket21-1c,vvadd,16,237215,3.75
3,rocket21-1c,vvadd,16,237215,3.76
3,rocket21-1c,vvadd,16,237215,3.73
3,rocket21-1c,vvadd,16,237215,3.71
3,rocket21-1c,vvadd,16,237215,3.86
3,rocket21-1c,vvadd,16,237215,3.73
3,rocket21-1c,vvadd,16,237215,3.75
3,rocket21-1c,vvadd,16,237215,3.67
3,rocket21-1c,vvadd,16,237215,3.72
3,rocket21-1c,vvadd,16,237215,3.72
3,rocket21-1c,vvadd,16,237215,4.38
3,rocket21-1c,vvadd,16,237215,3.72
3,rocket21-1c,vvadd,16,237215,3.75
3,rocket21-1c,vvadd,16,237215,3.77
3,rocket21-1c,vvadd,1,237215,3.38
3,rocket21-2c,qsort,16,794619,19.16
3,rocket21-2c,qsort,16,794619,19.23
3,rocket21-2c,qsort,16,794619,19.57
3,rocket21-2c,qsort,16,794619,19.13
3,rocket21-2c,qsort,16,794619,19.67
3,rocket21-2c,qsort,16,794619,19.4
3,rocket21-2c,qsort,16,794619,19.17
3,rocket21-2c,qsort,16,794619,19.54
3,rocket21-2c,qsort,16,794619,19.17
3,rocket21-2c,qsort,16,794619,19.32
3,rocket21-2c,qsort,16,794619,19.24
3,rocket21-2c,qsort,16,794619,18.99
3,rocket21-2c,qsort,16,794619,19.09
3,rocket21-2c,qsort,16,794619,19.46
3,rocket21-2c,qsort,16,794619,19.08
3,rocket21-2c,qsort,16,794619,19.43
3,rocket21-2c,qsort,1,794619,16.14
3,rocket21-2c,vvadd,16,238411,5.48
3,rocket21-2c,vvadd,16,238411,5.35
3,rocket21-2c,vvadd,16,238411,5.53
3,rocket21-2c,vvadd,16,238411,5.44
3,rocket21-2c,vvadd,16,238411,5.59
3,rocket21-2c,vvadd,16,238411,5.52
3,rocket21-2c,vvadd,16,238411,5.29
3,rocket21-2c,vvadd,16,238411,5.51
3,rocket21-2c,vvadd,16,238411,5.25
3,rocket21-2c,vvadd,16,238411,5.32
3,rocket21-2c,vvadd,16,238411,5.26
3,rocket21-2c,vvadd,16,238411,5.48
3,rocket21-2c,vvadd,16,238411,5.35
3,rocket21-2c,vvadd,16,238411,5.38
3,rocket21-2c,vvadd,16,238411,5.54
3,rocket21-2c,vvadd,16,238411,5.32
3,rocket21-2c,vvadd,1,238411,4.55
4,boom21-2large,qsort,16,1039011,508.24
4,boom21-2large,qsort,16,1039011,387.6
4,boom21-2large,qsort,16,1039011,413.41
4,boom21-2large,qsort,16,1039011,403.72
4,boom21-2large,qsort,16,1039011,368.8
4,boom21-2large,qsort,16,1039011,426.48
4,boom21-2large,qsort,16,1039011,420.92
4,boom21-2large,qsort,16,1039011,430.85
4,boom21-2large,qsort,16,1039011,381.14
4,boom21-2large,qsort,16,1039011,518.61
4,boom21-2large,qsort,16,1039011,429.31
4,boom21-2large,qsort,16,1039011,549.81
4,boom21-2large,qsort,16,1039011,405.96
4,boom21-2large,qsort,16,1039011,413.13
4,boom21-2large,qsort,16,1039011,544.95
4,boom21-2large,qsort,16,1039011,539.31
4,boom21-2large,qsort,1,1039011,209.47
4,boom21-2large,vvadd,16,380419,95.96
4,boom21-2large,vvadd,16,380419,90.09
4,boom21-2large,vvadd,16,380419,95.06
4,boom21-2large,vvadd,16,380419,89.12
4,boom21-2large,vvadd,16,380419,94.39
4,boom21-2large,vvadd,16,380419,92.31
4,boom21-2large,vvadd,16,380419,97.04
4,boom21-2large,vvadd,16,380419,96.76
4,boom21-2large,vvadd,16,380419,97.12
4,boom21-2large,vvadd,16,380419,91.16
4,boom21-2large,vvadd,16,380419,95.64
4,boom21-2large,vvadd,16,380419,94.48
4,boom21-2large,vvadd,16,380419,104.55
4,boom21-2large,vvadd,16,380419,105.77
4,boom21-2large,vvadd,16,380419,98.01
4,boom21-2large,vvadd,16,380419,91.73
