rank_chosen,cpu,benchmark,cycle_count,wall_time_s
0,rocket21-2c,qsort,794619,15.79
0,rocket21-2c,qsort,794619,16.08
0,rocket21-2c,qsort,794619,16.05
0,rocket21-2c,qsort,794619,15.94
0,rocket21-2c,qsort,794619,16.31
0,rocket21-2c,qsort,794619,15.94
0,rocket21-2c,qsort,794619,15.96
0,rocket21-2c,qsort,794619,15.89
0,rocket21-2c,qsort,794619,16.1
0,rocket21-2c,qsort,794619,15.61
0,rocket21-2c,qsort,794619,15.87
0,rocket21-2c,qsort,794619,15.7
0,rocket21-2c,qsort,794619,15.92
0,rocket21-2c,qsort,794619,16.19
0,rocket21-2c,qsort,794619,16.09
0,rocket21-2c,qsort,794619,15.82
0,rocket21-2c,qsort,794619,15.96
0,rocket21-2c,qsort,794619,16.03
0,rocket21-2c,qsort,794619,16.17
0,rocket21-2c,qsort,794619,16.03
0,rocket21-2c,qsort,794619,15.69
0,rocket21-2c,qsort,794619,16.17
0,rocket21-2c,qsort,794619,16.05
0,rocket21-2c,qsort,794619,16.0
0,rocket21-2c,qsort,794619,16.27
0,rocket21-2c,qsort,794619,16.11
0,rocket21-2c,qsort,794619,15.69
0,rocket21-2c,qsort,794619,17.49
0,rocket21-2c,qsort,794619,15.14
0,rocket21-2c,qsort,794619,14.44
0,rocket21-2c,qsort,794619,14.91
0,rocket21-2c,qsort,794619,15.82
0,rocket21-2c,qsort,794619,15.72
0,rocket21-2c,qsort,794619,14.77
0,rocket21-2c,qsort,794619,15.79
0,rocket21-2c,qsort,794619,16.08
0,rocket21-2c,qsort,794619,15.55
0,rocket21-2c,qsort,794619,15.54
0,rocket21-2c,qsort,794619,15.7
0,rocket21-2c,qsort,794619,15.43
0,rocket21-2c,qsort,794619,15.72
0,rocket21-2c,qsort,794619,15.93
1,boom21-2large,qsort,1039419,461.56
1,boom21-2large,qsort,1039419,328.3
1,boom21-2large,qsort,1039419,315.41
1,boom21-2large,qsort,1039419,500.15
1,boom21-2large,qsort,1039419,392.13
1,boom21-2large,qsort,1039419,335.91
1,boom21-2large,qsort,1039419,464.23
1,boom21-2large,qsort,1039419,313.84
1,boom21-2large,qsort,1039419,336.58
1,boom21-2large,qsort,1039419,341.49
1,boom21-2large,qsort,1039419,329.99
1,boom21-2large,qsort,1039419,409.32
1,boom21-2large,qsort,1039419,465.6
1,boom21-2large,qsort,1039419,497.05
1,boom21-2large,qsort,1039419,406.89
1,boom21-2large,qsort,1039419,541.64
1,boom21-2large,qsort,1039419,568.74
1,boom21-2large,qsort,1039419,586.29
1,boom21-2large,qsort,1039419,309.96
1,boom21-2large,qsort,1039419,345.27
1,boom21-2large,qsort,1039419,453.1
1,boom21-2large,qsort,1039419,461.08
1,boom21-2large,qsort,1039419,421.35
1,boom21-2large,qsort,1039419,401.27
1,boom21-2large,qsort,1039419,571.44
1,boom21-2large,qsort,1039419,580.33
1,boom21-2large,qsort,1039419,420.11
1,boom21-2large,qsort,1039419,415.45
1,boom21-2large,qsort,1039419,204.87
1,boom21-2large,qsort,1039419,223.8
1,boom21-2large,qsort,1039419,214.63
1,boom21-2large,qsort,1039419,215.77
1,boom21-2large,qsort,1039419,221.84
1,boom21-2large,qsort,1039419,218.6
1,boom21-2large,qsort,1039419,221.64
1,boom21-2large,qsort,1039419,245.42
1,boom21-2large,qsort,1039419,294.45
1,boom21-2large,qsort,1039419,291.95
1,boom21-2large,qsort,1039419,255.53
1,boom21-2large,qsort,1039419,343.61
1,boom21-2large,qsort,1039419,359.67
1,boom21-2large,qsort,1039419,304.46
1,boom21-2large,qsort,1039419,254.78
1,boom21-2small,memcpy,5477091,605.7
1,boom21-2small,memcpy,5477091,600.83
1,boom21-2small,memcpy,5477091,598.08
1,boom21-2small,memcpy,5477091,543.03
1,boom21-2small,memcpy,5477091,594.45
1,boom21-2small,memcpy,5477091,550.81
1,boom21-2small,memcpy,5477091,544.59
1,boom21-2small,memcpy,5477091,593.98
1,boom21-2small,memcpy,5477091,602.67
1,boom21-2small,memcpy,5477091,596.56
1,boom21-2small,memcpy,5477091,535.89
1,boom21-2small,memcpy,5477091,543.63
1,boom21-2small,memcpy,5477091,609.02
1,boom21-2small,memcpy,5477091,604.96
1,boom21-2small,memcpy,5477091,607.76
1,boom21-2small,memcpy,5477091,683.24
1,boom21-2small,memcpy,5477091,607.07
1,boom21-2small,memcpy,5477091,646.23
1,boom21-2small,memcpy,5477091,636.54
1,boom21-2small,memcpy,5477091,614.05
1,boom21-2small,memcpy,5477091,661.59
1,boom21-2small,memcpy,5477091,732.61
1,boom21-2small,memcpy,5477091,657.41
1,boom21-2small,memcpy,5477091,674.54
